ファイル名	タイトル	翻訳結果	想定Slug
2021-12-11_seven-elevenoptimalfoodlinear-programming.md	セブンイレブンで最適な食品を線形計画法を用いて決めたい	I want to use linear programming to determine the best food items at 7-Eleven.	linear-programming-optimal-food-7eleven
2022-01-27_reiwa-3-yearfall-fundamental-information-technology-engineer-passexperience.md	令和3年度秋 基本情報技術者試験 合格体験記	Fall 2021 Fundamental Information Technology Engineer Examination Passing Experience	fite-exam-pass-experience-2021-fall
2022-11-11_mysqlcsvfiledbimportdo.md	【MySQL】CSVファイルをDBにインポートする	[MySQL] Importing a CSV file into a database	mysql-import-csv-to-db
2022-11-12_python-beautifulsoup-findfind-all.md	Python BeautifulSoup find()を呼び出すつもりが、find_all()を呼び出してしまったのでしょうか？	Python BeautifulSoup Did you mean to call find() but end up calling find_all() instead?	python-beautifulsoup-find-vs-find-all
2022-11-23_java-compilenot.md	Java コンパイルができない	Unable to compile Java	java-cannot-compile
2022-11-28_pyautogui-image-recognitionscale-ratio.md	PyAutoGUI 画像認識と拡大比率の問題	PyAutoGUI Image recognition and magnification ratio issue	pyautogui-image-recognition-scale
2022-12-03_readable-code.md	リーダブルコードの個人的重要部分をざっくりまとめてみた	A rough summary of the important parts of readable code for me	readable-code-important-summary
2022-12-23_2022-yearfall-applied-information-technology-engineernonpassexperience.md	2022年秋 応用情報技術者試験"不"合格体験記	Fall 2022 Applied Information Technology Engineer Examination "Fail" Pass Experience	applied-it-exam-fail-experience-2022-fall
2023-01-22_notehealthstresslightwake-up.md	【雑記】これ以上心臓に負荷をかけるな【光で目覚めよう】	[Miscellaneous] Don't put any more strain on your heart [Wake up with the light]	dont-stress-heart-wake-up-light
2023-02-06_tech-bookreading-technique.md	技術書の読書術をざっくり読んで個人的に重要な部分をまとめてみた。	I quickly read through the book on how to read technical books and summarized the parts that I personally found important.	technical-reading-important-summary
2023-02-15_django-templatetagwhitespace.md	Django テンプレートタグに空白を入れると認識してくれません	Django template tags are not recognized if they contain spaces	django-template-tags-space-issue
2023-02-19_excel-notusefultips-3.md	Excel メジャーじゃないけど知っておくと便利な小技3選	3 Tips for Excel that aren't major but are useful to know	excel-small-tips-3
2023-03-27_pythonpyautogui-routine-workautomationtry.md	【Python】pyautogui入門 -定型作業を自動化してみる-	[Python] Introduction to pyautogui - Automating routine tasks -	python-pyautogui-automation-intro
2023-04-01_anacondasystem-environment-variablessettingsbecome.md	Anacondaはシステム環境変数の設定方法が異なるらしい	Anaconda seems to have a different way of setting system environment variables	anaconda-env-var-settings
2023-04-02_pythonnlpdiscord-pynegativeworddobot.md	【Python】初めての自然言語処理？discord.pyでネガティブな単語に反応するbotを作ってみた。	[Python] My first natural language processing? I created a bot that responds to negative words using discord.py.	python-discordpy-nlp-negative-bot
2023-04-23_pythonpyautogui-kindlehighlightdeletetry.md	【Python】pyautogui入門 -Kindleのハイライトを削除してみる-	[Python] Introduction to pyautogui - Trying to remove highlights from Kindle -	python-pyautogui-remove-kindle-highlight
2023-05-02_mercarishopsrelistefficiency.md	メルカリShopsの再出品があまりにもだるすぎたので効率化してみた	Relisting items on Mercari Shops was so tedious, I tried to streamline it	mercari-shops-relisting-automation
2023-05-28_chatgptsummarize.md	【ChatGPT】今更だけど本を要約してもらった	[ChatGPT] It's a little late, but I got a summary of the book	chatgpt-book-summary
2023-06-10_reactfrontendrandomramen-jiro.md	【React】初めてのフロントエンド〜ランダムで今日行くラーメン二郎を決めてもらう〜	[React] My first frontend: Randomly decide which Ramen Jiro to go to today	react-random-ramen-jiro
2023-07-01_react-flaskintegrationtry.md	React + Flaskを連携させてみる	Let's integrate React and Flask	react-flask-integration
2023-07-09_reactflaskintegrationtry-part-2.md	ReactとFlaskを連携させてみる part2	Integrating React and Flask part 2	react-flask-integration-part2
2023-08-11_typescript-interfacetypeuse.md	TypeScript interfaceとtypeどっち使うんですか？	TypeScript: Which should I use, interface or type?	typescript-interface-vs-type
2023-08-12_seleniumdetection.md	Seleniumが本当にバレバレなのか試してみた	I tried to see if Selenium is really obvious	is-selenium-detectable-test
2023-08-18_tight-couplingloose-couplingunderstanding.md	密結合と疎結合の理解を深める	Deepen your understanding of tight and loose coupling	tight-vs-loose-coupling
2023-08-20_typescriptcallbackfunctionknow.md	TypeScriptでコールバック関数を知る	Learn about callback functions in TypeScript	typescript-callback-function
2023-08-26_ramen-jirolearngoodalgorithmgptteachertry.md	ラーメン二郎のコールで学ぶ良いアルゴリズムとは何かをGPT先生に聞いてみる	Asking GPT Sensei what a good algorithm is to learn from Ramen Jiro's call	ramen-jiro-call-good-algorithm
2023-08-27_postman-localhostrequestsendnot.md	Postman localhostにリクエストが送信できない	Postman unable to send request to localhost	postman-cannot-request-localhost
2023-09-18_angularpracticefunabashipopulation-transitiongraph.md	Angularの練習ということで船橋市の人口推移グラフを作ってみた	As an Angular practice, I made a population graph for Funabashi City	angular-funabashi-population-graph
2023-10-09_booknotiongreat-app-1.md	BookNotionを更に神アプリにしたい その１	I want to make BookNotion an even better app. Part 1	booknotion-improvement-part1
2023-10-14_booknotionbirth.md	自分だけのBookNotionを爆誕させた	I created my own BookNotion	booknotion-custom-build
2023-10-29_personal-developmentminase-inorilivenotsonglist-displaydo.md	【個人開発】水瀬いのりさんのライブで聴いたことのない曲を一覧表示するぞ	[Personal Development] List of songs you haven't heard at Minase Inori's concerts	minase-inori-live-song-list-app
2023-12-23_10-％probabilitydohnotpokemongeneratesite.md	１０％の確率でドオーしか表示されないポケモン生成サイトを作った	I made a Pokemon generator that has a 10% chance of only displaying Doo	doo-only-pokemon-generator
2023-12-29_・dark-patternshadcn-uicreatedo.md	ザ・ダークパターンをshadcn/uiで作成する	Creating The Dark Pattern with shadcn/ui	shadcn-ui-dark-pattern
2024-01-03_nextjs-13-deployapipathdynamic.md	Next.js13 デプロイ時にAPIのパスを動的に変えるやり方	Next.js13 How to dynamically change API path during deployment	nextjs13-dynamic-api-path
2024-01-07_nonsensetextgeneratedoapp.md	支離滅裂な文章を生成するアプリ	An app that generates incoherent sentences	incoherent-sentence-generator
2024-01-21_fastapiiduuidsettingsdotype-definition.md	【FastAPI】idをuuidで設定するときは型定義に気をつけたい	[FastAPI] When setting id as uuid, be careful of type definition	fastapi-uuid-type-definition
2024-02-23_google-places-api-newlanguage-codesettingstrouble.md	Google Places API (New)で言語コードを設定せず沼りかけた	I almost got stuck without setting the language code in Google Places API (New)	google-places-api-language-code
2024-03-17_sqlalchemy-pytestruntime-error:-event-loop-is-closed.md	SQLAlchemy + pytestでRuntimeError: Event loop is closedが起きたときにやったこと	What I did when I got RuntimeError: Event loop is closed in SQLAlchemy + pytest	sqlalchemy-pytest-event-loop-closed
2024-04-08_real-estateinformationliveapitry.md	不動産情報ライブラリAPIを使ってみる！	Try using the Real Estate Information Library API!	realestate-library-api-try
2024-04-27_convenience-storesweetsrandomdoline-bot.md	コンビニスイーツをランダムに表示するLINE BOTをつくる	Create a LINE BOT that randomly displays convenience store sweets	random-convenience-sweets-linebot
2025-01-03_2025-yeardailybed-making.md	2025年は毎日ベッドメイキングだけやればいい。	In 2025, all you need to do is make your bed every day	make-bed-everyday-2025
2024-04-18_honorandomdoline-botmake.md	Honoでランダムにアイスクリームを提案するLINE BOTを作る	Create a LINE BOT that randomly suggests ice cream using Hono	hono-random-icecream-linebot
2024-06-13_vitegooglechromedevelopment.md	Viteで始めるGoogleChrome拡張機能開発	Start developing Google Chrome extensions with Vite	vite-chrome-extension-dev
2024-06-15_understandingdodi.md	手を動かして理解しようとするDI（依存性の注入）	Understanding DI (Dependency Injection) through hands-on experience	hands-on-dependency-injection
2024-07-06_hono-diinversifyjsdo.md	Hono + DIでInversifyJSを使用する	Using InversifyJS with Hono + DI	hono-di-inversifyjs
2024-07-08_hono-service-bindings.md	Hono Service bindings入門	Introduction to Hono Service bindings	hono-service-bindings-intro
2024-07-18_docker-postgresqlenvironment-setuplearn.md	Docker + PostgreSQLで環境構築して、パーティションについて学ぶ	Build an environment with Docker + PostgreSQL and learn about partitions	docker-postgresql-partition-learning
2024-07-28_markdownpowerpointcreatemarptry.md	今更だけどMarkdownでPowerPointが作成できるMarpに入門してみる	It's a little late, but I'll introduce Marp, which allows you to create PowerPoint using Markdown	intro-to-marp-markdown-powerpoint
2024-08-08_neet→working-adultsleepqualitychange.md	ニート→社会人になって睡眠の質は変化したのか調べてみた	I investigated whether the quality of sleep changed after going from NEET to working adult	sleep-quality-neet-to-worker
2024-08-12_api.md	API叩くときはしっかりデコードしよう	Be sure to decode properly when calling the API	api-decode-best-practice
2024-09-13_github-actionsfiledo.md	GitHub Actionsでビルドしたファイルをリリースノートに格納する	Include build files in release notes with GitHub Actions	github-actions-attach-build-to-release-note
2024-09-21_nextjs-approuterdynamicogpcreatedo.md	Next.js AppRouterで動的OGP画像を作成する	Creating dynamic OGP images with Next.js AppRouter	nextjs-approuter-dynamic-ogp
2024-09-26_playwrightbeurldo.md	Playwrightでクエリパラメータが付与されているページのURLを取得する	Get the URL of a page with query parameters in Playwright	playwright-get-url-with-query
2024-10-06_tailwind-css.md	Tailwind CSS マーカーとテキストの重なりを防ぐ方法	How to prevent Tailwind CSS marker and text overlap	tailwind-marker-text-overlap
2024-11-09_wikipediatry.md	Wikipediaの全記事を学習させて、日本語で遊んでみる	Learn all Wikipedia articles and have fun with them in Japanese	wikipedia-learn-and-play-japanese
2024-11-16_bewebsite.md	住んでいる地域の人口増減を一目でわかるWebサイトをつくった	We created a website that lets you see at a glance the population increase or decrease in your area	regional-population-visualization-site
2024-11-17_informationdowebapirequesttry.md	アニメ情報を取得するWebAPIを実際にリクエストして、比較してみる	Let's actually request a WebAPI that retrieves anime information and compare them	anime-information-api-compare
2024-11-30_analyzeinformation.md	初めての実行計画と「ANALYZE」で統計情報の再計算を行う	First execution plan and recalculating statistics with "ANALYZE"	first-explain-analyze-recalculate-stats
2024-12-31_understandingdobranded-type.md	手を動かして理解するBranded Type	Branded Type: Learn by doing	branded-type-hands-on
2025-01-02_understandingdocleanarchitecture.md	手を動かして理解するクリーンアーキテクチャ	Learn Clean Architecture through hands-on experience	clean-architecture-hands-on
2025-01-11_branded-type.md	もう少し楽にBranded Typeを使えるようにしたい	I want to make it easier to use Branded Type	improve-branded-type-usability
2025-02-08_marpslidecreatedo.md	Marpで企業ロゴが入ったスライドを作成する	Create a slide with your company logo using Marp	marp-company-logo-slide
2025-02-22_podfromnotfrom.md	Podがなにか分からないから弁当ケースで表現してもらう	I don't know what a Pod is, so I'll use a lunch box to represent it	pod-explained-with-lunchbox
2025-03-03_honoxurlcreatesite.md	HonoXで短縮URL作成サイトをつくる	Create a URL shortening site with HonoX	honox-url-shortener
2025-04-11_chinchirodomcpservertry.md	チンチロをするMCPサーバーを作ってみる	Creating an MCP server for playing Chinchiro	mcp-server-chinchiro
2025-05-06_nothonoxblondeheroinenotwebsite.md	「ないなら作ればよくね？」HonoXで金髪ヒロインしか乗ってないWebサイトを作った話	If it doesn't exist, why not just make one? How I created a website with only blonde heroines using HonoX	honox-blonde-heroine-website
2025-05-11_hono-obsidianhands-ondevelopmenttry.md	Hono + Obsidianプラグインをハンズオン形式で開発してみる	Hands-on development of Hono + Obsidian plugins	hono-obsidian-plugin-hands-on
2025-05-18_dependabotsettings.md	dependabotによる依存関係更新の集約設定	Aggregating dependency updates with dependabot	dependabot-grouped-updates
2025-06-01_honoxvitestdo.md	HonoXにVitestを導入する	Installing Vitest on HonoX	honox-vitest-setup
2025-06-08_cloudflare-workersillegal-invocationerror.md	Cloudflare Workers環境で「Illegal invocation」エラーが起きたときに試したこと	What I tried when I got the "Illegal invocation" error in a Cloudflare Workers environment	cloudflare-workers-illegal-invocation
2025-08-28_pretoolusefailed-status-code-127.md	PreToolUseがfailed with non-blocking status code 127になったときにやったこと	What I did when PreToolUse failed with non-blocking status code 127	pretooluse-error-127-solution
2025-09-27_dev-containerserena-mcpdo.md	Dev Container環境でSerena MCPのブラウザ自動起動を無効化する	Disable automatic browser launch for Serena MCP in Dev Container environment	disable-browser-launch-serena-mcp-devcontainer
2025-09-28_dostop-hooksnottypescript.md	仕組みでカバーするStop Hooksで忘れないTypeScriptの型チェック	Don't forget to check TypeScript types with Stop Hooks	stop-hooks-typescript-type-check
2025-10-18_notion-apidatabaseapitry.md	Notion APIのデータベース操作APIに破壊的変更があったので、実装を修正してみる	There was a breaking change in the Notion API's database operation API, so I'm going to fix the implementation	adjust-notion-api-breaking-change
2025-11-03_gasusewebsite.md	GASを使うと社内だけで使えるWebサイトが簡単に作れるの知ってました？	Did you know that you can easily create a website that can only be used within your company using GAS?	gas-internal-website-easy
2025-11-09_anthropicmcpserena-mcp.md	Anthropic公式のMCPによるコード実行をserena MCPで試してみたけど無理だった件	I tried running code using the official Anthropic MCP with Serena MCP, but it didn't work	anthropic-mcp-execution-serena-fail